sku,name,category_name,brand,sale_price,store_name
5005289-EA-000,Classic Ice Cream,Frozen,Magnum,4.45,pak'nsave
5005288-EA-000,Almond Ice Cream,Frozen,Magnum,4.45,pak'nsave
5310072-EA-000,Snap Frozen Mixed Berries,Frozen,The Berry Fix,9.33,pak'nsave
5312787-EA-000,Smoothie Mix,Frozen,Fruzio,13.99,pak'nsave
5312786-EA-000,Mixed Berry,Frozen,Fruzio,13.99,pak'nsave
5310918-EA-000,Mango,Frozen,The Berry Fix,9.33,pak'nsave
5312789-EA-000,Tropical Smoothie Mix,Frozen,Fruzio,13.99,pak'nsave
5006165-EA-000,Blueberries,Frozen,Pams,13.58,pak'nsave
5013613-EA-000,Green Kiwi,Frozen,Kiwi Crush,1.71,pak'nsave
5091953-EA-000,Shredded Coconut,Frozen,Shana,13.3,pak'nsave
5267905-EA-000,Acai Berry Pulp Original Blend,Frozen,Sambazon,22.23,pak'nsave
5320161-EA-000,Sweet Fruit Medley,Frozen,Pams,13.98,pak'nsave
5316337-EA-000,Mixed Berries,Frozen,Frozen Harvest,14.98,pak'nsave
5316336-EA-000,Mango,Frozen,Frozen Harvest,14.98,pak'nsave
5316335-EA-000,Raspberries,Frozen,Frozen Harvest,22.2,pak'nsave
5316334-EA-000,Blueberries,Frozen,Frozen Harvest,17.98,pak'nsave
5315079-EA-000,Blueberry Choc Bites,Frozen,Goodness Kitchen,38.45,pak'nsave
5314184-EA-000,Strawberry Choc Bites,Frozen,Goodness Kitchen,38.45,pak'nsave
5313877-EA-000,Jack Fruit,Frozen,Nishin,13.38,pak'nsave
5313875-EA-000,Durian Pulps Fruit,Frozen,Nishin,44.98,pak'nsave
5312835-EA-000,Premium Harvest Tangy Passionfruit,Frozen,Goodness Kitchen,17.76,pak'nsave
5312785-EA-000,Premium Diced Mango,Frozen,Fruzio,13.99,pak'nsave
5312784-EA-000,New Zealand Blueberries,Frozen,Goodness Kitchen,17.31,pak'nsave
5312783-EA-000,New Zealand Blackcurrants,Frozen,Goodness Kitchen,19.48,pak'nsave
5312782-EA-000,New Zealand Mixed Berries,Frozen,Goodness Kitchen,17.31,pak'nsave
5310071-EA-000,Snap Frozen Blueberries,Frozen,The Berry Fix,10.66,pak'nsave
5310070-EA-000,Certified Organic Mango,Frozen,Goodness Kitchen,18.73,pak'nsave
5310069-EA-000,Certified Organic Blueberries,Frozen,Goodness Kitchen,18.73,pak'nsave
5310067-EA-000,Certified Organic Mixed Berries,Frozen,Goodness Kitchen,18.73,pak'nsave
5310066-EA-000,Raspberries,Frozen,Fruzio,20.65,pak'nsave
5310065-EA-000,Five Berry Medley,Frozen,Fruzio,13.32,pak'nsave
5310064-EA-000,Blueberries,Frozen,Fruzio,13.32,pak'nsave
5301943-EA-000,Two Berry Mix,Frozen,Pams,13.32,pak'nsave
5301942-EA-000,Mango Chunks,Frozen,Pams,13.8,pak'nsave
5295939-EA-000,Raspberries,Frozen,Pams,19.97,pak'nsave
